"","type","node","name","Network","modulo"
"1","modhub",5,"Phytoplankton","Potter",3
"2","hubcon",29,"Ophionotus victoriae","Potter",6
"3","hubcon",115,"Notothenia coriiceps","Potter",1
"4","modspe",2,"Benthic Copepoda","Potter",5
"5","modspe",4,"Nematoda","Potter",5
"6","modspe",7,"Zooplankton","Potter",3
"7","modspe",8,"Cirratulidae","Potter",5
"8","modspe",9,"Maldanidae","Potter",5
"9","modspe",11,"Orbiniidae","Potter",5
"10","modspe",12,"Spionidae","Potter",5
"11","modspe",13,"Seraphsidae","Potter",5
"12","modspe",14,"Cumacea","Potter",5
"13","modspe",15,"Charcotia obesa","Potter",6
"14","modspe",16,"Copepoda","Potter",6
"15","modspe",18,"Gitanopsis squamosa","Potter",6
"16","modspe",19,"Gondogeneia antarctica","Potter",1
"17","modspe",20,"Palmaria decipiens","Potter",1
"18","modspe",23,"Chaenocephalus aceratus ","Potter",6
"19","modspe",24,"Euphausia superba","Potter",6
"20","modspe",26,"Lepidonotothen nudifrons","Potter",6
"21","modspe",27,"Mysida","Potter",6
"22","modspe",28,"Octopoda","Potter",6
"23","modspe",30,"Parachaenichthys charcoti","Potter",6
"24","modspe",32,"Necromass","Potter",6
"25","modspe",33,"Porifera","Potter",3
"26","modspe",35,"Camptoplites sp.","Potter",3
"27","modspe",36,"Cellarinella sp.","Potter",3
"28","modspe",37,"Chalinidae","Potter",3
"29","modspe",38,"Dendrilla antarctica","Potter",3
"30","modspe",39,"Mycale acerata","Potter",3
"31","modspe",40,"Nereididae ","Potter",1
"32","modspe",41,"Rosella antartica","Potter",3
"33","modspe",42,"Rossella sp.","Potter",3
"34","modspe",43,"Stylocordyla borealis","Potter",3
"35","modspe",44,"Epiphytic Diatomea","Potter",2
"36","modspe",46,"Ascidiacea","Potter",6
"37","modspe",48,"Gastropoda","Potter",6
"38","modspe",50,"Gammaridea","Potter",6
"39","modspe",51,"Hyperiidea","Potter",6
"40","modspe",52,"Laternula elliptica","Potter",1
"41","modspe",54,"Nemertea","Potter",6
"42","modspe",55,"Polyplacophora","Potter",6
"43","modspe",58,"Adenocystis utricularis","Potter",1
"44","modspe",59,"Ascoseira mirabilis","Potter",1
"45","modspe",60,"Desmarestia anceps","Potter",1
"46","modspe",61,"Desmarestia antarctica","Potter",1
"47","modspe",62,"Desmarestia menziesii","Potter",1
"48","modspe",63,"Geminocarpus geminatus","Potter",1
"49","modspe",64,"Gigartina skottsbergii","Potter",1
"50","modspe",65,"Iridaea cordata","Potter",1
"51","modspe",66,"Monostroma hariotii","Potter",1
"52","modspe",67,"Myriogramme manginii","Potter",1
"53","modspe",68,"Phaeurus antarcticus ","Potter",1
"54","modspe",69,"Picconiella plumosa ","Potter",1
"55","modspe",70,"Plocamium cartilagineum","Potter",1
"56","modspe",73,"Margarella antarctica","Potter",3
"57","modspe",74,"Curdiea racovitzae","Potter",1
"58","modspe",75,"Georgiella confluens ","Potter",1
"59","modspe",76,"Cheirimedon femoratus","Potter",6
"60","modspe",77,"Pariphimedia integricauda","Potter",6
"61","modspe",78,"Prostebbingia gracilis","Potter",1
"62","modspe",79,"Ulothrix sp.","Potter",2
"63","modspe",81,"Aglaophamus trissophyllus","Potter",5
"64","modspe",82,"Barrukia cristata","Potter",5
"65","modspe",83,"Callophyllis atrosanguinea ","Potter",1
"66","modspe",84,"Dacrydium sp.","Potter",3
"67","modspe",85,"Glyptonotus antarcticus","Potter",6
"68","modspe",86,"Hemiarthrum setulosum","Potter",2
"69","modspe",87,"Hippomedon kergueleni","Potter",6
"70","modspe",88,"Lambia antarctica ","Potter",1
"71","modspe",89,"Neuroglossum delesseriae","Potter",1
"72","modspe",91,"Pantoneura plocamioides ","Potter",1
"73","modspe",92,"Porphyra plocamiestris","Potter",1
"74","modspe",93,"Pseudorchomene plebs","Potter",6
"75","modspe",94,"Pyropia plocamiestris ","Potter",1
"76","modspe",95,"Cephalopoda","Potter",6
"77","modspe",97,"Trematocarpus antarcticus","Potter",1
"78","modspe",98,"Urospora penicilliformis","Potter",1
"79","modspe",100,"Paraserolis polita","Potter",5
"80","modspe",101,"Hydrozoa","Potter",3
"81","modspe",103,"Oligochaeta","Potter",3
"82","modspe",104,"Calanoides acutus","Potter",3
"83","modspe",105,"Diplasterias brucei","Potter",4
"84","modspe",106,"Laevilacunaria antarctica","Potter",1
"85","modspe",107,"Odontaster meridionalis","Potter",3
"86","modspe",109,"Perknaster fuscus antarticus","Potter",4
"87","modspe",112,"Gobionotothen gibberifrons","Potter",6
"88","modspe",113,"Malacobelemnon daytoni","Potter",3
"89","modspe",114,"Metridia gerlachei","Potter",3
"90","modspe",116,"Notothenia rossii","Potter",6
"91","modspe",117,"Oithona similis","Potter",3
"92","modspe",118,"Parborlasia corrugatus","Potter",3
"93","modspe",119,"Perknaster aurorae","Potter",3
"94","modcon",1,"Aged detritus","Potter",5
"95","modcon",3,"Fresh detritus","Potter",3
"96","modcon",6,"Polychaeta","Potter",5
"97","modcon",10,"Ophaeliidae","Potter",5
"98","modcon",17,"Eurymera monticulosa","Potter",2
"99","modcon",21,"Paradexamine sp.","Potter",6
"100","modcon",22,"Prostebbingia sp.","Potter",2
"101","modcon",25,"Harpagifer antarcticus","Potter",2
"102","modcon",31,"Benthic Diatomea","Potter",2
"103","modcon",34,"Neobuccinum eatoni","Potter",4
"104","modcon",45,"Salpidae","Potter",6
"105","modcon",47,"Bovallia gigantea","Potter",6
"106","modcon",49,"Sterechinus neumayeri","Potter",3
"107","modcon",53,"Nacella concinna","Potter",2
