"","metric","medianDif","sdM","effectSize"
"1","Clustering",-0.0747239783443229,0.0370991532977734,-2.01416937320798
"2","Modularity",0.0129013113696536,0.00786225029677919,1.64091842445396
"3","Omnivory",-0.11965811965812,0.0628881782624654,-1.90271244873279
"4","PathLength",-0.0728717520031488,0.231512104304246,-0.314764328293535
"5","Q",0.0742362250000002,0.0469967656609363,1.57960285045116
"6","TLmax",0.308711448788663,0.184157782727785,1.67634212475825
"7","TLmean",-0.231580336207066,0.119588542041247,-1.93647595542383
