"","ModelNames","par1","par2","xmin","n","AICc","Delta_AICc","AICc_weight","Network"
"1","PowerExp",0.3189,0.0868,1,145,1073.3961,0,0.6951,"Beagle"
"2","Exp",0.0886,NA,1,110,755.5098,0,0.6269,"Potter"
