"","type","node","name","Network","modulo"
"123","modspe",22,"Eurypodius latreillii","Beagle",3
"124","modspe",24,"Fissurella oriens","Beagle",3
"125","modspe",25,"Gaimardia trapesina","Beagle",3
"126","modspe",28,"Mytilus edulis chilensis","Beagle",3
"127","modspe",29,"Nacella deaurata","Beagle",4
"128","modspe",31,"Nacella mytilina","Beagle",3
"129","modspe",33,"Notochthamalus scabrosus ","Beagle",3
"130","modspe",35,"Pareuthria fuscata","Beagle",3
"131","modspe",36,"Perumytilus purpuratus","Beagle",3
"132","modspe",37,"Plaxiphora sp.","Beagle",3
"133","modspe",39,"Polyplacophora","Beagle",4
"134","modspe",41,"Siphonaria lessonii","Beagle",4
"135","modspe",42,"Spirorbinae","Beagle",3
"136","modspe",43,"Tonicia sp.","Beagle",3
"137","modspe",44,"Trophon geversianus","Beagle",3
"138","modspe",45,"Xymenopsis muriciformis ","Beagle",4
"139","modspe",49,"Membranipora isabelleana","Beagle",3
"140","modspe",51,"Serpulidae","Beagle",3
"141","modspe",53,"Adenocystis utricularis","Beagle",4
"142","modspe",58,"Cephalopoda","Beagle",1
"143","modspe",59,"Dissostichus eleginoides","Beagle",1
"144","modspe",60,"Euphausiacea","Beagle",1
"145","modspe",61,"Gammaridea","Beagle",2
"146","modspe",62,"Glyceridae","Beagle",2
"147","modspe",63,"Myxine glutinosa","Beagle",1
"148","modspe",65,"Peltarion spinosulum","Beagle",3
"149","modspe",67,"Bathyraja brachyurops","Beagle",1
"150","modspe",68,"Cottoperca gobio","Beagle",1
"151","modspe",69,"Genypterus blacodes","Beagle",1
"152","modspe",70,"Macruronus magellanicus","Beagle",1
"153","modspe",71,"Merluccius hubbsi","Beagle",1
"154","modspe",72,"Patagonotothen sp.","Beagle",1
"155","modspe",73,"Priapulida","Beagle",1
"156","modspe",74,"Sprattus fuegensis","Beagle",1
"157","modspe",75,"Bathyraja griseocauda","Beagle",1
"158","modspe",76,"Bathyraja scaphiops","Beagle",1
"159","modspe",77,"Careproctus pallidus","Beagle",1
"160","modspe",79,"Patagonotothen sima","Beagle",1
"161","modspe",81,"Arbacia dufresnii","Beagle",3
"162","modspe",82,"Loxechinus albus","Beagle",4
"163","modspe",83,"Notobalanus flosculus","Beagle",3
"164","modspe",84,"Paralomis granulosa","Beagle",3
"165","modspe",85,"Bathyraja albomaculata","Beagle",1
"166","modspe",87,"Patagonotothen brevicauda brevicauda","Beagle",1
"167","modspe",88,"Patagonotothen ramsayi","Beagle",1
"168","modspe",89,"Salilota australis","Beagle",1
"169","modspe",90,"Echiura","Beagle",1
"170","modspe",91,"Holothuroidea","Beagle",1
"171","modspe",92,"Callophyllis pinnata","Beagle",4
"172","modspe",93,"Ceramium diaphanum","Beagle",4
"173","modspe",94,"Cladophora sp.","Beagle",3
