Predator	Prey
Bryozoa	Phytoplankton
Calanus australis	Phytoplankton
Calanus australis	Zooplankton
Calanus australis	Diatomea
Calanus australis	Phytoplankton
Calanus australis	Fresh detritus
Calanus australis	Phytoplankton
Calanus australis	Zooplankton
Campylonotus vagans	Fresh detritus
Centropages brachiatus 	Phytoplankton
Centropages brachiatus 	Zooplankton
Champsocephalus esox 	Cephalopoda
Champsocephalus esox 	Munida gregaria
Champsocephalus esox 	Patagonotothen sima
Champsocephalus esox 	Patagonotothen tessellata
Chthamalus sp.	Fresh detritus
Clausocalanus brevipes 	Phytoplankton
Copepoda	Phytoplankton
Copepoda	Zooplankton
Cosmasterias lurida	Amphipoda
Cosmasterias lurida	Aulacomya atra
Cosmasterias lurida	Crepipatella dilatata
Cosmasterias lurida	Fissurella oriens
Cosmasterias lurida	Gaimardia trapesina
Cosmasterias lurida	Halicarcinus planatus
Cosmasterias lurida	Margarella violacea
Cosmasterias lurida	Nacella mytilina
Cosmasterias lurida	Pareuthria fuscata
Cosmasterias lurida	Plaxiphora sp.
Cosmasterias lurida	Pseudechinus magellanicus
Cosmasterias lurida	Serpulidae
Cosmasterias lurida	Trophon geversianus
Cosmasterias lurida	Pagurus sp.
Cosmasterias lurida	Arbacia dufresnii
Cosmasterias lurida	Ascidiacea
Cosmasterias lurida	Ascidiacea
Cosmasterias lurida	Aulacomya atra
Cosmasterias lurida	Balanus sp.
Cosmasterias lurida	Crepipatella dilatata
Cosmasterias lurida	Fissurella picta
Cosmasterias lurida	Fusitriton magellanicus
Cosmasterias lurida	Gaimardia trapesina
Cosmasterias lurida	Halicarcinus planatus
Cosmasterias lurida	Loxechinus albus
Cosmasterias lurida	Margarella violacea
Cosmasterias lurida	Munida gregaria
Cosmasterias lurida	Nacella magellanica
Cosmasterias lurida	Nacella mytilina
Cosmasterias lurida	Necromass
Cosmasterias lurida	Paralomis granulosa
Cosmasterias lurida	Pareuthria fuscata
Cosmasterias lurida	Priapulida
Cosmasterias lurida	Pseudechinus magellanicus
Cosmasterias lurida	Serpulidae
Cosmasterias lurida	Trophon geversianus
Cosmasterias lurida	Notobalanus flosculus
Cottoperca gobio	Actinaria
Cottoperca gobio	Amphipoda
Cottoperca gobio	Bathyraja albomaculata
Cottoperca gobio	Bathyraja brachyurops
Cottoperca gobio	Euphausiacea
Cottoperca gobio	Isopoda
Cottoperca gobio	Munida gregaria
Cottoperca gobio	Peltarion spinosulum
Cottoperca gobio	Polychaeta
Cottoperca gobio	Salilota australis
Cottoperca gobio	Salpidae
Cottoperca gobio	Dissostichus eleginoides
Cottoperca gobio	Fresh detritus
Cottoperca gobio	Ophiuroidea
Cottoperca gobio	Cephalopoda
Cottoperca gobio	Cephalopoda
Cottoperca gobio	Halicarcinus planatus
Cottoperca gobio	Patagonotothen brevícauda brevicauda
Cottoperca gobio	Patagonotothen cornucola
Cottoperca gobio	Patagonotothen longipes ramsayi
Cottoperca gobio	Patagonotothen sima
Cottoperca gobio	Patagonotothen tessellata
Crepipatella dilatata	Macrocystis pyrifera
Crepipatella dilatata	Fresh detritus
Crepipatella dilatata	Phytoplankton
Ctenophora	Acartia tonsa 
Ctenophora	Amphipoda
Ctenophora	Calanus australis
Ctenophora	Copepoda
Ctenophora	Ctenophora
Ctenophora	Euphausiacea
Ctenophora	Oncaea curvata
Ctenophora	Paracalanus parvus
Ctenophora	Salpidae
Ctenophora	Zooplankton
Ctenophora	Oithona similis 
Ctenophora	Phytoplankton
Dissostichus eleginoides	Cephalopoda
Dissostichus eleginoides	Paralomis granulosa
Dissostichus eleginoides	Euphausiacea
Dissostichus eleginoides	Amphipoda
Dissostichus eleginoides	Isopoda
Dissostichus eleginoides	Cephalopoda
Dissostichus eleginoides	Patagonotothen brevícauda brevicauda
Drepanopus forcipatus	Phytoplankton
Drepanopus forcipatus	Zooplankton
Drepanopus forcipatus	Diatomea
Eleginops maclovinus	Amphipoda
Eleginops maclovinus	Amphipoda
Eleginops maclovinus	Austroregia huxleyana
Eleginops maclovinus	Ceramium diaphanum
Eleginops maclovinus	Ulva sp.
Eleginops maclovinus	Isopoda
Eleginops maclovinus	Jassa alonsoae
Eleginops maclovinus	Maldanidae
Eleginops maclovinus	Nemertea
Eleginops maclovinus	Onuphidae
Eleginops maclovinus	Orbiniidae
Eleginops maclovinus	Polychaeta
Eleginops maclovinus	Polynoidae
Eleginops maclovinus	Priapulida
Eleginops maclovinus	Spionidae
Eleginops maclovinus	Anasterias antarctica
Eleginops maclovinus	Ulva sp.
Eleginops maclovinus	Halicarcinus planatus
Eleginops maclovinus	Isopoda
Eleginops maclovinus	Munida gregaria
Eleginops maclovinus	Nacella deaurata
