Predator	Prey
Bathyraja albomaculata	Cumacea
Bathyraja albomaculata	Dissostichus eleginoides
Bathyraja albomaculata	Euphausiacea
Bathyraja albomaculata	Gammaridea
Bathyraja albomaculata	Gammaridea
Bathyraja albomaculata	Glyceridae
Bathyraja albomaculata	Isopoda
Bathyraja albomaculata	Isopoda
Bathyraja albomaculata	Munida gregaria
Bathyraja albomaculata	Myxine glutinosa
Bathyraja albomaculata	Ophiuroidea
Bathyraja albomaculata	Peltarion spinosulum
Bathyraja albomaculata	Peltarion spinosulum
Bathyraja albomaculata	Polychaeta
Bathyraja albomaculata	Polychaeta
Bathyraja albomaculata	Terebellidae
Bathyraja brachyurops	Nemertea
Bathyraja brachyurops	Amphipoda
Bathyraja brachyurops	Bathyraja brachyurops
Bathyraja brachyurops	Bathyraja brachyurops
Bathyraja brachyurops	Cephalopoda
Bathyraja brachyurops	Cephalopoda
Bathyraja brachyurops	Cottoperca gobio
Bathyraja brachyurops	Crustacea
Bathyraja brachyurops	Dissostichus eleginoides
Bathyraja brachyurops	Euphausiacea
Bathyraja brachyurops	Gammaridea
Bathyraja brachyurops	Gammaridea
Bathyraja brachyurops	Gastropoda
Bathyraja brachyurops	Genypterus blacodes
Bathyraja brachyurops	Isopoda
Bathyraja brachyurops	Macroalgae
Bathyraja brachyurops	Macruronus magellanicus
Bathyraja brachyurops	Macruronus magellanicus
Bathyraja brachyurops	Merluccius hubbsi
Bathyraja brachyurops	Munida gregaria
Bathyraja brachyurops	Munida gregaria
Bathyraja brachyurops	Myxine glutinosa
Bathyraja brachyurops	Ophiuroidea
Bathyraja brachyurops	Pagurus comptus
Bathyraja brachyurops	Patagonotothen sp.
Bathyraja brachyurops	Patagonotothen sp.
Bathyraja brachyurops	Peltarion spinosulum
Bathyraja brachyurops	Peltarion spinosulum
Bathyraja brachyurops	Polychaeta
Bathyraja brachyurops	Polychaeta
Bathyraja brachyurops	Priapulida
Bathyraja brachyurops	Sprattus fuegensis
Bathyraja griseocauda	Amphipoda
Bathyraja griseocauda	Bathyraja griseocauda
Bathyraja griseocauda	Bathyraja scaphiops
Bathyraja griseocauda	Cephalopoda
Bathyraja griseocauda	Cephalopoda
Bathyraja griseocauda	Copepoda
Bathyraja griseocauda	Cottoperca gobio
Bathyraja griseocauda	Crustacea
Bathyraja griseocauda	Dissostichus eleginoides
Bathyraja griseocauda	Euphausiacea
Bathyraja griseocauda	Gammaridea
Bathyraja griseocauda	Gastropoda
Bathyraja griseocauda	Genypterus blacodes
Bathyraja griseocauda	Isopoda
Bathyraja griseocauda	Isopoda
Bathyraja griseocauda	Macroalgae
Bathyraja griseocauda	Macruronus magellanicus
Bathyraja griseocauda	Macruronus magellanicus
Bathyraja griseocauda	Munida gregaria
Bathyraja griseocauda	Myxine glutinosa
Bathyraja griseocauda	Pagurus comptus
Bathyraja griseocauda	Pagurus comptus
Bathyraja griseocauda	Patagonotothen sp.
Bathyraja griseocauda	Patagonotothen sp.
Bathyraja griseocauda	Polychaeta
Bathyraja griseocauda	Polychaeta
Bathyraja griseocauda	Sprattus fuegensis
Bathyraja scaphiops	Amphipoda
Bathyraja scaphiops	Cephalopoda
Bathyraja scaphiops	Isopoda
Bathyraja scaphiops	Patagonotothen sp.
Bivalvia	Fresh detritus
Bivalvia	Phytoplankton
Bivalvia	Phytoplankton
Bivalvia	Diatomea
Bryozoa	Phytoplankton
Bryozoa	Fresh detritus
Bryozoa	Fresh detritus
Bryozoa	Phytoplankton
Bryozoa	Phytoplankton
Bryozoa	Phytoplankton
Bryozoa	Fresh detritus
Bryozoa	Fresh detritus
Bryozoa	Phytoplankton
Bryozoa	Phytoplankton
Bryozoa	Fresh detritus
Bryozoa	Phytoplankton
Calliostoma nudum	Macroalgae
Campylonotus vagans	Fresh detritus
Careproctus pallidus	Amphipoda
Careproctus pallidus	Careproctus pallidus
Cephalopoda	Copepoda
Cephalopoda	Crustacea
Cephalopoda	Euphausiacea
Cephalopoda	Euphausiacea
Cephalopoda	Phytoplankton
Cephalopoda	Polychaeta
Cephalopoda	Polychaeta
Cephalopoda	Priapulida
Cephalopoda	Zooplankton
Champsocephalus esox	Cephalopoda
Champsocephalus esox	Copepoda
Champsocephalus esox	Munida gregaria
Champsocephalus esox	Munida gregaria
Champsocephalus esox	Munida gregaria
Champsocephalus esox	Patagonotothen longipes
Champsocephalus esox	Patagonotothen sima
Champsocephalus esox	Patagonotothen sima
Champsocephalus esox	Patagonotothen tessellata
Champsocephalus esox	Patagonotothen tessellata
Champsocephalus esox	Patagonotothen tessellata
Chthamalus sp.	Fresh detritus
Chthamalus sp.	Fresh detritus
Chthamalus sp.	Phytoplankton
Chthamalus sp.	Diatomea
Cirratulidae	Aged detritus
Cirratulidae	Aged detritus
Cirratulidae	Necromass
Cirratulidae	Phytoplankton
Cirratulidae	Zooplankton
Cirratulidae	Diatomea
Cirratulidae	Aged detritus
Cirripedia	Fresh detritus
Cirripedia	Phytoplankton
Cirripedia	Zooplankton
Cirripedia	Fresh detritus
Congiopodus peruvianus	Gammaridea
Congiopodus peruvianus	Crustacea
Congiopodus peruvianus	Zooplankton
Copepoda	Phytoplankton
Copepoda	Fresh detritus
Copepoda	Phytoplankton
Copepoda	Fresh detritus
Copepoda	Phytoplankton
Copepoda	Phytoplankton
Copepoda	Zooplankton
Copepoda	Fresh detritus
Copepoda	Phytoplankton
Cosmasterias lurida	Amphipoda
Cosmasterias lurida	Arbacia dufresnii
Cosmasterias lurida	Ascidiacea
Cosmasterias lurida	Aulacomya atra
Cosmasterias lurida	Aulacomya atra
Cosmasterias lurida	Crepipatella dilatata
Cosmasterias lurida	Crepipatella dilatata
Cosmasterias lurida	Fissurella oriens
Cosmasterias lurida	Fissurella oriens
Cosmasterias lurida	Gaimardia trapesina
Cosmasterias lurida	Gaimardia trapesina
Cosmasterias lurida	Halicarcinus planatus 
Cosmasterias lurida	Halicarcinus planatus 
Cosmasterias lurida	Loxechinus albus
Cosmasterias lurida	Loxechinus albus
Cosmasterias lurida	Margarella violacea
Cosmasterias lurida	Munida gregaria
Cosmasterias lurida	Nacella magellanica
Cosmasterias lurida	Nacella mytilina
Cosmasterias lurida	Nacella mytilina
Cosmasterias lurida	Necromass
Cosmasterias lurida	Notobalanus flosculus
Cosmasterias lurida	Pagurus comptus
Cosmasterias lurida	Paralomis granulosa
Cosmasterias lurida	Paralomis granulosa
Cosmasterias lurida	Pareuthria fuscata
Cosmasterias lurida	Pareuthria fuscata
Cosmasterias lurida	Plaxiphora sp.
Cosmasterias lurida	Polyplacophora
Cosmasterias lurida	Priapulida
Cosmasterias lurida	Pseudechinus magellanicus
Cosmasterias lurida	Pseudechinus magellanicus
Cosmasterias lurida	Serpulidae
Cosmasterias lurida	Spirorbinae
Cosmasterias lurida	Trophon geversianus
Cosmasterias lurida	Trophon geversianus
Cottoperca gobio	Amphipoda
Cottoperca gobio	Amphipoda
Cottoperca gobio	Amphipoda
Cottoperca gobio	Bathyraja albomaculata
Cottoperca gobio	Bathyraja brachyurops
Cottoperca gobio	Cephalopoda
Cottoperca gobio	Cephalopoda
Cottoperca gobio	Cottoperca gobio
Cottoperca gobio	Dissostichus eleginoides
Cottoperca gobio	Euphausiacea
Cottoperca gobio	Gastropoda
Cottoperca gobio	Halicarcinus planatus 
Cottoperca gobio	Halicarcinus planatus 
Cottoperca gobio	Harpagifer bispinis
Cottoperca gobio	Isopoda
Cottoperca gobio	Macroalgae
Cottoperca gobio	Macruronus magellanicus
Cottoperca gobio	Merluccius hubbsi
Cottoperca gobio	Munida gregaria
Cottoperca gobio	Munida gregaria
Cottoperca gobio	Munida gregaria
Cottoperca gobio	Munida gregaria
Cottoperca gobio	Munida gregaria
Cottoperca gobio	Necromass
Cottoperca gobio	Ophiuroidea
Cottoperca gobio	Paranotothenia magellanica
Cottoperca gobio	Paranotothenia magellanica
Cottoperca gobio	Patagonotothen brevicauda brevicauda
Cottoperca gobio	Patagonotothen brevicauda brevicauda
Cottoperca gobio	Patagonotothen longipes
Cottoperca gobio	Patagonotothen longipes
