Predator	Prey
Doris kerguelenensis	Rossella sp.
Doris kerguelenensis	Stylo_Myca
Doris kerguelenensis	Stylo_Myca
Doris kerguelenensis	Stylo_Myca
Doris kerguelenensis	Stylo_Myca
Doris kerguelenensis	Stylo_Myca
Doris kerguelenensis	Benthic Diatomea
Eatoniella sp.	Bryozoa
Eatoniella sp.	Epiphytic Diatomea
Eatoniella sp.	Fresh detritus
Eatoniella sp.	Epiphytic Diatomea
Euphausia superba	Copepoda
Euphausia superba	Copepoda
Euphausia superba	Copepoda
Euphausia superba	Euphausia superba
Euphausia superba	Phytoplankton
Euphausia superba	Phytoplankton
Euphausia superba	Phytoplankton
Euphausia superba	Phytoplankton
Euphausia superba	Salpidae
Euphausia superba	Salpidae
Euphausia superba	Zooplankton
Euphausia superba	Zooplankton
Eurymera monticulosa	Fresh detritus
Eurymera monticulosa	Necromass
Eurymera monticulosa	Epiphytic Diatomea
Eurymera monticulosa	Benthic Diatomea
Gammaridea	Aged detritus
Gammaridea	Copepoda
Gammaridea	Desmarestia anceps
Gammaridea	Desmarestia antarctica
Gammaridea	Desmarestia menziesii
Gammaridea	Gammaridea
Gammaridea	Ostracoda
Gammaridea	Palmaria decipiens
Gammaridea	Epiphytic Diatomea
Gammaridea	Benthic Diatomea
Gammaridea	Aged detritus
Gammaridea	Phytoplankton
Gammaridea	Phytoplankton
Gammaridea	Phytoplankton
Gammaridea	Aged detritus
Gammaridea	Oligochaeta
Gastropoda	Fresh detritus
Gastropoda	Polyplacophora
Gastropoda	Porifera
Gastropoda	Tanaidacea
Gitanopsis squamosa	Aged detritus
Gitanopsis squamosa	Fresh detritus
Gitanopsis squamosa	Necromass
Gitanopsis squamosa	Phytoplankton
Glyptonotus antarcticus	Bovallia gigantea
Glyptonotus antarcticus	Bovallia gigantea
Glyptonotus antarcticus	Euphausia superba
Glyptonotus antarcticus	Euphausia superba
Glyptonotus antarcticus	Fresh detritus
Glyptonotus antarcticus	Gastropoda
Glyptonotus antarcticus	Gastropoda
Glyptonotus antarcticus	Glyptonotus antarcticus
Glyptonotus antarcticus	Glyptonotus antarcticus
Glyptonotus antarcticus	Gondogeneia antarctica
Glyptonotus antarcticus	Necromass
Glyptonotus antarcticus	Necromass
Glyptonotus antarcticus	Necromass
Glyptonotus antarcticus	Necromass
Glyptonotus antarcticus	Nereididae
Glyptonotus antarcticus	Polychaeta
Glyptonotus antarcticus	Polychaeta
Gobionotothen gibberifrons	Aequiyoldia eightsii
Gobionotothen gibberifrons	Aequiyoldia eightsii
Gobionotothen gibberifrons	Aged detritus
Gobionotothen gibberifrons	Bovallia gigantea
Gobionotothen gibberifrons	Copepoda
Gobionotothen gibberifrons	Copepoda
Gobionotothen gibberifrons	Cumacea
Gobionotothen gibberifrons	Gammaridea
Gobionotothen gibberifrons	Gammaridea
Gobionotothen gibberifrons	Gammaridea
Gobionotothen gibberifrons	Gammaridea
Gobionotothen gibberifrons	Gammaridea
Gobionotothen gibberifrons	Gastropoda
Gobionotothen gibberifrons	Gastropoda
Gobionotothen gibberifrons	Gastropoda
Gobionotothen gibberifrons	Gastropoda
Gobionotothen gibberifrons	Gastropoda
Gobionotothen gibberifrons	Gondogeneia antarctica
Gobionotothen gibberifrons	Gondogeneia antarctica
Gobionotothen gibberifrons	Oradarea bidentata
Gobionotothen gibberifrons	Oradarea bidentata
Gobionotothen gibberifrons	Ostracoda
Gobionotothen gibberifrons	Ostracoda
Gobionotothen gibberifrons	Polychaeta
Gobionotothen gibberifrons	Polychaeta
Gobionotothen gibberifrons	Polychaeta
Gobionotothen gibberifrons	Polychaeta
Gobionotothen gibberifrons	Polychaeta
Gobionotothen gibberifrons	Polychaeta
Gobionotothen gibberifrons	Polychaeta
Gobionotothen gibberifrons	Polychaeta
Gobionotothen gibberifrons	Probolisca ovata
Gobionotothen gibberifrons	Probolisca ovata
Gobionotothen gibberifrons	Prostebbingia gracilis
Gobionotothen gibberifrons	Prostebbingia gracilis
Gobionotothen gibberifrons	Serolis sp.
Gobionotothen gibberifrons	Serolis sp.
Gobionotothen gibberifrons	Serolis sp.
Gobionotothen gibberifrons	Cumacea
Gondogeneia antarctica	Adenocystis utricularis
Gondogeneia antarctica	Adenocystis utricularis
Gondogeneia antarctica	Desmarestia anceps
Gondogeneia antarctica	Desmarestia anceps
Gondogeneia antarctica	Desmarestia anceps
Gondogeneia antarctica	Desmarestia antarctica
Gondogeneia antarctica	Desmarestia antarctica
Gondogeneia antarctica	Desmarestia menziesii
Gondogeneia antarctica	Desmarestia menziesii
Gondogeneia antarctica	Desmarestia menziesii
Gondogeneia antarctica	Gigartina skottsbergii
Gondogeneia antarctica	Iridaea cordata
Gondogeneia antarctica	Iridaea cordata
Gondogeneia antarctica	Myriogramme manginii
Gondogeneia antarctica	Myriogramme manginii
Gondogeneia antarctica	Palmaria decipiens
Gondogeneia antarctica	Palmaria decipiens
Gondogeneia antarctica	Palmaria decipiens
Gondogeneia antarctica	Palmaria decipiens
Gondogeneia antarctica	Phaeurus antarcticus 
Gondogeneia antarctica	Plocamium cartilagineum
Gondogeneia antarctica	Plocamium cartilagineum
Harpagifer antarcticus	Bovallia gigantea
Harpagifer antarcticus	Bovallia gigantea
Harpagifer antarcticus	Bovallia gigantea
Harpagifer antarcticus	Cheirimedon femoratus
Harpagifer antarcticus	Cheirimedon femoratus
Harpagifer antarcticus	Copepoda
Harpagifer antarcticus	Copepoda
Harpagifer antarcticus	Djerboa furcipes
Harpagifer antarcticus	Djerboa furcipes
Harpagifer antarcticus	Eatoniella sp.
Harpagifer antarcticus	Euphausia superba
Harpagifer antarcticus	Euphausia superba
Harpagifer antarcticus	Euphausia superba
Harpagifer antarcticus	Eurymera monticulosa
Harpagifer antarcticus	Eurymera monticulosa
Harpagifer antarcticus	Gastropoda
Harpagifer antarcticus	Gastropoda
Harpagifer antarcticus	Gastropoda
Harpagifer antarcticus	Gastropoda
Harpagifer antarcticus	Glyptonotus antarcticus
Harpagifer antarcticus	Gondogeneia antarctica
Harpagifer antarcticus	Gondogeneia antarctica
Harpagifer antarcticus	Gondogeneia antarctica
Harpagifer antarcticus	Gondogeneia antarctica
Harpagifer antarcticus	Gondogeneia antarctica
Harpagifer antarcticus	Gondogeneia antarctica
Harpagifer antarcticus	Gondogeneia antarctica
Harpagifer antarcticus	Laevilacunaria antarctica
Harpagifer antarcticus	Margarella antarctica
Harpagifer antarcticus	Mysida
Harpagifer antarcticus	Nacella concinna
Harpagifer antarcticus	Neobuccinum eatoni
Harpagifer antarcticus	Nereididae
Harpagifer antarcticus	Nereididae
Harpagifer antarcticus	Nereididae
Harpagifer antarcticus	Orchomenella sp.
Harpagifer antarcticus	Orchomenella sp.
Harpagifer antarcticus	Paradexamine fissicauda
Harpagifer antarcticus	Paradexamine fissicauda
Harpagifer antarcticus	Pariphimedia integricauda
Harpagifer antarcticus	Polychaeta
Harpagifer antarcticus	Polychaeta
Harpagifer antarcticus	Polychaeta
Harpagifer antarcticus	Polychaeta
Harpagifer antarcticus	Polychaeta
Harpagifer antarcticus	Polychaeta
Harpagifer antarcticus	Polychaeta
Harpagifer antarcticus	Polynoidae
Harpagifer antarcticus	Polyplacophora
Harpagifer antarcticus	Probolisca ovata
Harpagifer antarcticus	Probolisca ovata
Harpagifer antarcticus	Prostebbingia gracilis
Harpagifer antarcticus	Prostebbingia gracilis
Harpagifer antarcticus	Prostebbingia sp.
Harpagifer antarcticus	Serolis sp.
Harpagifer antarcticus	Serolis sp.
Harpagifer antarcticus	Nemertea
Hemiarthrum setulosum	Bryozoa
Hemiarthrum setulosum	Bryozoa
Hemiarthrum setulosum	Epiphytic Diatomea
Hemiarthrum setulosum	Porifera
Hemiarthrum setulosum	Porifera
Hemiarthrum setulosum	Zooplankton
Hemiarthrum setulosum	Epiphytic Diatomea
Hemiarthrum setulosum	Benthic Diatomea
Hippomedon kergueleni	Aged detritus
Hippomedon kergueleni	Aged detritus
Hippomedon kergueleni	Necromass
Hippomedon kergueleni	Necromass
Hippomedon kergueleni	Necromass
Hippomedon kergueleni	Necromass
Hippomedon kergueleni	Necromass
Hippomedon kergueleni	Necromass
Hydrozoa	Benthic Diatomea
Hydrozoa	Copepoda
Hydrozoa	Euphausia superba
Hydrozoa	Fresh detritus
Hydrozoa	Gammaridea
Hydrozoa	Nemertea
Hydrozoa	Ostracoda
Hydrozoa	Polynoidae
Hydrozoa	Zooplankton
Hydrozoa	Benthic Diatomea
Hydrozoa	Fresh detritus
Hydrozoa	Phytoplankton
Hydrozoa	Zooplankton
Hydrozoa	Benthic Diatomea
Hydrozoa	Fresh detritus
Hydrozoa	Phytoplankton
Hydrozoa	Fresh detritus
Hydrozoa	Zooplankton
Hydrozoa	Fresh detritus
Hyperiidea	Copepoda
Hyperiidea	Copepoda
Hyperiidea	Copepoda
Hyperiidea	Euphausia superba
Hyperiidea	Euphausia superba
Hyperiidea	Ostracoda
Hyperiidea	Zooplankton
Hyperiidea	Zooplankton
Hyperiidea	Zooplankton
Laevilacunaria antarctica	Adenocystis utricularis
Laevilacunaria antarctica	Curdiea racovitzae
Laevilacunaria antarctica	Desmarestia menziesii
Laevilacunaria antarctica	Georgiella confluens 
Laevilacunaria antarctica	Gigartina skottsbergii
Laevilacunaria antarctica	Iridaea cordata
Laevilacunaria antarctica	Monostroma hariotii
Laevilacunaria antarctica	Palmaria decipiens
Laevilacunaria antarctica	Plocamium cartilagineum
Laternula elliptica	Aged detritus
Laternula elliptica	Aged detritus
Laternula elliptica	Phytoplankton
Laternula elliptica	Benthic Diatomea
Laternula elliptica	Benthic Diatomea
Laternula elliptica	Benthic Diatomea
Lindbergichthys nudifrons	Ascidiacea
Lindbergichthys nudifrons	Bovallia gigantea
Lindbergichthys nudifrons	Charcotia obesa
Lindbergichthys nudifrons	Charcotia obesa
Lindbergichthys nudifrons	Copepoda
Lindbergichthys nudifrons	Copepoda
Lindbergichthys nudifrons	Copepoda
Lindbergichthys nudifrons	Euphausia superba
Lindbergichthys nudifrons	Euphausia superba
Lindbergichthys nudifrons	Euphausia superba
Lindbergichthys nudifrons	Euphausia superba
Lindbergichthys nudifrons	Euphausia superba
Lindbergichthys nudifrons	Euphausia superba
Lindbergichthys nudifrons	Euphausia superba
Lindbergichthys nudifrons	Euphausia superba
Lindbergichthys nudifrons	Gammaridea
Lindbergichthys nudifrons	Gammaridea
Lindbergichthys nudifrons	Gastropoda
Lindbergichthys nudifrons	Gastropoda
Lindbergichthys nudifrons	Gastropoda
Lindbergichthys nudifrons	Glyptonotus antarcticus
Lindbergichthys nudifrons	Gondogeneia antarctica
Lindbergichthys nudifrons	Gondogeneia antarctica
Lindbergichthys nudifrons	Gondogeneia antarctica
Lindbergichthys nudifrons	Nereididae
Lindbergichthys nudifrons	Ostracoda
Lindbergichthys nudifrons	Polychaeta
Lindbergichthys nudifrons	Polychaeta
Lindbergichthys nudifrons	Polychaeta
Lindbergichthys nudifrons	Polychaeta
Lindbergichthys nudifrons	Polychaeta
Lindbergichthys nudifrons	Polychaeta
Lindbergichthys nudifrons	Prostebbingia gracilis
Lindbergichthys nudifrons	Prostebbingia sp.
Lindbergichthys nudifrons	Pseudorchomene plebs
Lindbergichthys nudifrons	Salpidae
Lindbergichthys nudifrons	Serolis sp.
Lindbergichthys nudifrons	Tanaidacea
Lindbergichthys nudifrons	Cumacea
Lindbergichthys nudifrons	Cumacea
Malacobelemnon daytoni	Phytoplankton
Malacobelemnon daytoni	Zooplankton
Margarella antarctica	Benthic Diatomea
Mysida	Copepoda
Mysida	Fresh detritus
Mysida	Fresh detritus
Mysida	Necromass
Mysida	Ostracoda
Mysida	Phytoplankton
Mysida	Zooplankton
Mysida	Zooplankton
Mysida	Benthic Diatomea
Mysida	Oligochaeta
Nacella concinna	Ascoseira mirabilis
Nacella concinna	Ulothrix sp.
Nacella concinna	Epiphytic Diatomea
Nacella concinna	Benthic Diatomea
Nemertea	Aged detritus
Nemertea	Necromass
Nemertea	Copepoda
Nemertea	Gammaridea
Nemertea	Nereididae
Nemertea	Polynoidae
Nemertea	Spionidae
Nemertea	Terebellidae
Nemertea	Nemertea
Nemertea	Oligochaeta
Neobuccinum eatoni	Laternula elliptica
Neobuccinum eatoni	Laternula elliptica
Neobuccinum eatoni	Laternula elliptica
Neobuccinum eatoni	Laternula elliptica
Neobuccinum eatoni	Necromass
Neobuccinum eatoni	Necromass
Nereididae	Aged detritus
Nereididae	Necromass
Nereididae	Aged detritus
Nereididae	Cumacea
Nereididae	Gammaridea
Nereididae	Hydrozoa
Nereididae	Nereididae
Nereididae	Spionidae
Nereididae	Benthic Diatomea
Nereididae	Aged detritus
Nereididae	Zooplankton
Nereididae	Aged detritus
Nereididae	Gigartina skottsbergii
Nereididae	Fresh detritus
Nereididae	Aged detritus
Nereididae	Fresh detritus
Nereididae	Benthic Diatomea
Nereididae	Oligochaeta
Nereididae	Oligochaeta
Notothenia coriiceps	Nemertea
Notothenia coriiceps	Nemertea
Notothenia coriiceps	Adenocystis utricularis
Notothenia coriiceps	Adenocystis utricularis
Notothenia coriiceps	Adenocystis utricularis
Notothenia coriiceps	Adenocystis utricularis
Notothenia coriiceps	Adenocystis utricularis
Notothenia coriiceps	Aequiyoldia eightsii
Notothenia coriiceps	Aequiyoldia eightsii
Notothenia coriiceps	Aged detritus
Notothenia coriiceps	Ascidiacea
Notothenia coriiceps	Ascidiacea
Notothenia coriiceps	Ascidiacea
Notothenia coriiceps	Ascidiacea
Notothenia coriiceps	Ascidiacea
Notothenia coriiceps	Ascidiacea
Notothenia coriiceps	Ascoseira mirabilis
Notothenia coriiceps	Ascoseira mirabilis
Notothenia coriiceps	Ascoseira mirabilis
Notothenia coriiceps	Ascoseira mirabilis
Notothenia coriiceps	Bovallia gigantea
Notothenia coriiceps	Bovallia gigantea
Notothenia coriiceps	Bovallia gigantea
Notothenia coriiceps	Bovallia gigantea
Notothenia coriiceps	Bovallia gigantea
Notothenia coriiceps	Bovallia gigantea
Notothenia coriiceps	Bovallia gigantea
Notothenia coriiceps	Bryozoa
Notothenia coriiceps	Callophyllis atrosanguinea 
Notothenia coriiceps	Cephalopoda
Notothenia coriiceps	Cephalopoda
Notothenia coriiceps	Cephalopoda
Notothenia coriiceps	Cephalopoda
Notothenia coriiceps	Charcotia obesa
Notothenia coriiceps	Charcotia obesa
Notothenia coriiceps	Cheirimedon femoratus
Notothenia coriiceps	Cheirimedon femoratus
